사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
DISCOVERY,出差费,海外差旅费,INT,DISCOVERY,출장비,해외출장비,인테리어,,,,,,,,,,,,
DISCOVERY,出差费,海外差旅费,VMD,DISCOVERY,출장비,해외출장비,VMD,,,,,,,,,,,,
共同,其他,招待费,,공통,기타,접대비,,63800,,,,,,,,,,,
共同,其他,办公用品,,공통,기타,사무용품비,,40600,,,,,,,,,,,
共同,其他,市内交通费,,공통,기타,여비교통비,,49927,,,,,,,,,,,
共同,其他,通信费,,공통,기타,통신비,,1572,,,,,,,,,,,
共同,其他,快递费,,공통,기타,물류비,,37750,,,,,,,,,,,
共同,其他,培训费,,공통,기타,교육비,,,,,,,,,,,,,
DISCOVERY,commission,INT,MD模具开发,DISCOVERY,지급수수료,인테리어 개발,MD금형개발,66878.2,,,,,,,,,,,
MLB,commission,INT,形象开发,MLB,지급수수료,인테리어 개발,이미지 개발,55379.25,,,,,,,,,,,
KIDS,commission,INT,形象开发,KIDS,지급수수료,인테리어 개발,이미지 개발,148000,,,,,,,,,,,
DISCOVERY,commission,INT,形象开发,DISCOVERY,지급수수료,인테리어 개발,이미지 개발,,,,,,,,,,,,
MLB,commission,INT,Showroom,MLB,지급수수료,인테리어 개발,Showroom,,,,,,,,,,,,
KIDS,commission,INT,Showroom,KIDS,지급수수료,인테리어 개발,Showroom,,,,,,,,,,,,
DISCOVERY,commission,INT,Showroom,DISCOVERY,지급수수료,인테리어 개발,Showroom,,,,,,,,,,,,
MLB,commission,INT,VMD,MLB,지급수수료,인테리어 개발,VMD 개발,,,,,,,,,,,,
KIDS,commission,INT,VMD,KIDS,지급수수료,인테리어 개발,VMD 개발,,,,,,,,,,,,
DISCOVERY,commission,INT,VMD,DISCOVERY,지급수수료,인테리어 개발,VMD 개발,,,,,,,,,,,,
共同,commission,HR,直营店招聘,공통,지급수수료,인사,직영매장 채용비,4528.33,,,,,,,,,,,
共同,commission,HR,办公室招聘,공통,지급수수료,인사,사무실 직원 채용비,32645.91,,,,,,,,,,,
共同,commission,HR,咨询服务费,공통,지급수수료,인사,컨설팅 비용,,,-0.15,,,,,,,,,
共同,commission,HR,残保金服务费,공통,지급수수료,인사,장애인 서비스 비용,4805,,,,,,,,,,,
共同,commission,HR,HR Platinum 系统,공통,지급수수료,인사,HR Platinum 시스템,1950,,-5863.91,,,,,,,,,
共同,commission,财务,审计-季度,공통,지급수수료,재무,감사비,,,,,,,,,,,,
共同,commission,财务,APA,공통,지급수수료,재무,APA,,,,,,,,,,,,
共同,commission,财务,Tax,공통,지급수수료,재무,Tax,10000,,,,,,,,,,,
