사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 , 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
MLB,出差费,国内差旅费,EC,MLB,출장비,국내출장비,온라인,"44,939", - ,"7,490","1,248","9,987","1,248","9,987","1,248","1,248","1,248","1,248","9,987", - 
MLB,出差费,国内差旅费,MP,MLB,출장비,국내출장비,상품기획(MP),0, - , - , - , - , - , - , - , - , - , - , - , - 
MLB,出差费,国内差旅费,Wholesale,MLB,출장비,국내출장비,Wholesale,"290,862","9,987","7,490","33,705","33,705","33,705","33,705","33,705","33,705","33,705","14,980","14,980","7,490"
MLB,出差费,国内差旅费,Retail,MLB,출장비,국내출장비,리테일,"28,864", - , - , - ,"2,697", - ,"2,697", - ,"7,790","7,790","5,193", - ,"2,697"
MLB,出差费,国内差旅费,VMD,MLB,출장비,국내출장비,VMD,"52,432", - ,"2,497","7,490","7,490","2,497","2,497","2,497","7,490","7,490","7,490","2,497","2,497"
MLB,出差费,国内差旅费,MD,MLB,출장비,국내출장비,MD,"63,666", - , - , - ,"13,732","3,745","3,745","13,732","3,745","3,745","3,745","9,987","7,490"
MLB,出差费,国内差旅费,INT,MLB,출장비,국내출장비,인테리어,"329,560","29,960", - ,"29,960","29,960","29,960","29,960","29,960","29,960","29,960","29,960","29,960","29,960"
MLB,出差费,国内差旅费,MO,MLB,출장비,국내출장비,유통MD(MO),"9,986", - , - , - ,"4,993", - , - , - , - , - ,"4,993", - , - 
KIDS,出差费,国内差旅费,MD,KIDS,출장비,국내출장비,MD,"6,240", - , - ,"1,248", - ,"1,248","1,248","1,248", - ,"1,248", - , - , - 
KIDS,出差费,国内差旅费,Wholesale,KIDS,출장비,국내출장비,Wholesale,"64,911","4,993", - ,"7,490","4,993","7,490","4,993","4,993","4,993","7,490","7,490","4,993","4,993"
KIDS,出差费,国内差旅费,Retail,KIDS,출장비,국내출장비,리테일,"24,964", - ,"1,248","4,993", - ,"1,248","4,993", - ,"1,248","4,993", - ,"1,248","4,993"
KIDS,出差费,国内差旅费,MKT,KIDS,출장비,국내출장비,마케팅,"9,986", - , - , - ,"4,993", - , - , - , - ,"4,993", - , - , - 
