사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 ,조정,조정후 예산,,,
KIDS,出差费,国内差旅费,Kids Department,KIDS,출장비,국내출장비,Kids Department,0,0,0,,,
KIDS,出差费,国内差旅费,VMD,KIDS,출장비,국내출장비,VMD,"172,270",0,"172,270",,,
DISCOVERY,出差费,国内差旅费,MD,DISCOVERY,출장비,국내출장비,MD,"544,272","-280,014","264,258",,,
DISCOVERY,出差费,国内差旅费,Wholesale,DISCOVERY,출장비,국내출장비,Wholesale,"109,853",0,"109,853",,,
DISCOVERY,出差费,国内差旅费,MKT,DISCOVERY,출장비,국내출장비,마케팅,"32,455",0,"32,455",,,
DISCOVERY,出差费,国内差旅费,INT,DISCOVERY,출장비,국내출장비,인테리어,"82,390",0,"82,390",,,
DISCOVERY,出差费,国内差旅费,EC,DISCOVERY,출장비,국내출장비,온라인,"2,497",0,"2,497",,,
DISCOVERY,出差费,国内差旅费,Retail,DISCOVERY,출장비,국내출장비,리테일,0,0,0,,,
DISCOVERY,出差费,国内差旅费,VMD,DISCOVERY,출장비,국내출장비,VMD,"67,413",0,"67,413",,,
MLB,出差费,海外差旅费,MGT,MLB,출장비,해외출장비,MGT,"84,700",0,"84,700",,,
MLB,出差费,海外差旅费,Business Operation,MLB,출장비,해외출장비,Business Operation,"74,760",0,"74,760",,,
MLB,出差费,海外差旅费,IT,MLB,출장비,해외출장비,IT,0,0,0,,,
MLB,出差费,海外差旅费,Finance,MLB,출장비,해외출장비,재무,"21,390",0,"21,390",,,
MLB,出差费,海外差旅费,Procument,MLB,출장비,해외출장비,Procument,0,0,0,,,
MLB,出差费,海外差旅费,BD,MLB,출장비,해외출장비,BD,0,0,0,,,
MLB,出差费,海外差旅费,Supply Chain,MLB,출장비,해외출장비,Supply Chain,0,0,0,,,
MLB,出差费,海外差旅费,EC,MLB,출장비,해외출장비,온라인,"8,710",0,"8,710",,,
MLB,出差费,海外差旅费,MP,MLB,출장비,해외출장비,상품기획(MP),0,0,0,,,
MLB,出差费,海外差旅费,Wholesale,MLB,출장비,해외출장비,Wholesale,0,0,0,,,
MLB,出差费,海外差旅费,Retail,MLB,출장비,해외출장비,리테일,0,0,0,,,
MLB,出差费,海外差旅费,VMD,MLB,출장비,해외출장비,VMD,0,0,0,,,
MLB,出差费,海外差旅费,MD,MLB,출장비,해외출장비,MD,"147,245",0,"147,245",,,
MLB,出差费,海外差旅费,MKT,MLB,출장비,해외출장비,마케팅,0,0,0,,,
MLB,出差费,海外差旅费,INT,MLB,출장비,해외출장비,인테리어,"40,360",0,"40,360",,,
MLB,出差费,海外差旅费,MO,MLB,출장비,해외출장비,유통MD(MO),0,0,0,,,
KIDS,出差费,海外差旅费,MD,KIDS,출장비,해외출장비,MD,"91,860",0,"91,860",,,
KIDS,出差费,海外差旅费,Retail,KIDS,출장비,해외출장비,리테일,0,0,0,,,
KIDS,出差费,海外差旅费,Wholesale,KIDS,출장비,해외출장비,Wholesale,0,0,0,,,
KIDS,出差费,海外差旅费,MKT,KIDS,출장비,해외출장비,마케팅,0,0,0,,,
KIDS,出差费,海外差旅费,INT,KIDS,출장비,해외출장비,인테리어,0,0,0,,,
KIDS,出差费,海外差旅费,VMD,KIDS,출장비,해외출장비,VMD,0,0,0,,,
DISCOVERY,出差费,海外差旅费,MD,DISCOVERY,출장비,해외출장비,MD,"257,555","-58,170","199,385",,,
DISCOVERY,出差费,海外差旅费,EC,DISCOVERY,출장비,해외출장비,온라인,0,0,0,,,
DISCOVERY,出差费,海外差旅费,Retail,DISCOVERY,출장비,해외출장비,리테일,0,0,0,,,
DISCOVERY,出差费,海外差旅费,Wholesale,DISCOVERY,출장비,해외출장비,Wholesale,0,0,0,,,
DISCOVERY,出差费,海外差旅费,MKT,DISCOVERY,출장비,해외출장비,마케팅,0,0,0,,,
DISCOVERY,出差费,海外差旅费,INT,DISCOVERY,출장비,해외출장비,인테리어,0,0,0,,,
DISCOVERY,出差费,海外差旅费,VMD,DISCOVERY,출장비,해외출장비,VMD,0,0,0,,,
共同,其他,招待费,,공통,기타,접대비,,"333,200","-30,390","302,810",,,
共同,其他,办公用品,,공통,기타,사무용품비,,"373,219","-3,457","369,762",,,
共同,其他,市内交通费,,공통,기타,여비교통비,,"393,367","80,663","474,031",,,
共同,其他,通信费,,공통,기타,통신비,,"24,664","-6,940","17,724",,,
共同,其他,快递费,,공통,기타,택배비,,"453,000","28,185","481,185",,,
共同,其他,培训费,,공통,기타,교육비,,"100,180",40,"100,220",,,
DISCOVERY,commission,INT,MD模具开发,DISCOVERY,지급수수료,인테리어 개발,MD금형개발,"690,000","214,078","904,078",,,
MLB,commission,INT,形象开发,MLB,지급수수료,인테리어 개발,이미지 개발,"987,902","2,411","990,313",,,
KIDS,commission,INT,形象开发,KIDS,지급수수료,인테리어 개발,이미지 개발,"196,500","23,400","219,900",,,
DISCOVERY,commission,INT,形象开发,DISCOVERY,지급수수료,인테리어 개발,이미지 개발,"465,202","-13,252","451,950",,,
MLB,commission,INT,Showroom,MLB,지급수수료,인테리어 개발,Showroom,"209,400",,"209,400",,,
KIDS,commission,INT,Showroom,KIDS,지급수수료,인테리어 개발,Showroom,"79,000",,"79,000",,,
DISCOVERY,commission,INT,Showroom,DISCOVERY,지급수수료,인테리어 개발,Showroom,"157,800",,"157,800",,,
MLB,commission,INT,VMD,MLB,지급수수료,인테리어 개발,VMD 개발,0,,0,,,
KIDS,commission,INT,VMD,KIDS,지급수수료,인테리어 개발,VMD 개발,0,,0,,,
DISCOVERY,commission,INT,VMD,DISCOVERY,지급수수료,인테리어 개발,VMD 개발,"234,000","-66,816","167,184",,,
共同,commission,HR,直营店招聘,공통,지급수수료,인사,직영매장 채용비,"50,004","-39,554","10,450",,,
共同,commission,HR,办公室招聘,공통,지급수수료,인사,사무실 직원 채용비,"800,000",,"800,000",,,
共同,commission,HR,咨询服务费,공통,지급수수료,인사,컨설팅 비용,"41,981",,"41,981",,,
共同,commission,HR,残保金服务费,공통,지급수수료,인사,장애인 서비스 비용,"57,660",,"57,660",,,
共同,commission,HR,HR Platinum 系统,공통,지급수수료,인사,HR Platinum 시스템,"40,500",,"40,500",,,
共同,commission,财务,审计-季度,공통,지급수수료,재무,감사비,"780,000","-27,107","752,893",,,
共同,commission,财务,APA,공통,지급수수료,재무,APA,0,,,,,
共同,commission,财务,Tax,공통,지급수수료,재무,Tax,"120,000",,"120,000",,,
共同,commission,财务,SAP 维护费,공통,지급수수료,재무,SAP 유지보수 비용,"420,000",,"420,000",,,
共同,commission,财务,G3 Service,공통,지급수수료,재무,G3 연간 유지보수 비용,"3,000",,"3,000",,,
共同,commission,财务,Document Translator,공통,지급수수료,재무,계약서번역,"80,000",,"80,000",,,
共同,commission,财务,审计-销毁相关,공통,지급수수료,재무,폐기 관련 감사비용,"30,000",,"30,000",,,
共同,commission,财务,Tax-销毁相关税务,공통,지급수수료,재무,폐기관련 세무 컨설팅 비용,"400,000",,"400,000",,,
共同,commission,财务,IC相关,공통,지급수수료,재무,내부회계 감사비용,"230,000",,"230,000",,,
